Iterations,Train Accuracy,Test Accuracy
1,0.607761812774,0.584507006632
11,0.650697217494,0.647693119501
21,0.638584739767,0.634989730622
31,0.657272012082,0.626060599816
41,0.647382695354,0.626710975342
51,0.640591723448,0.649369684825
61,0.647791688667,0.628352020012
71,0.653992003489,0.628835895505
81,0.64105409693,0.629163982184
91,0.647587197542,0.636502892539
101,0.643483329034,0.623132462553
111,0.651390362443,0.651821478549
121,0.649991566826,0.651232501634
131,0.652120148917,0.629257127354
141,0.644264542934,0.639979389708
151,0.651669094345,0.620861029716
161,0.650208834693,0.631302582454
171,0.654334666988,0.625580129987
181,0.643463675931,0.621678357593
191,0.657407973001,0.640366739901
201,0.639672613764,0.644873283183
211,0.645567649688,0.645293456781
221,0.648917328986,0.625904634765
231,0.644764596873,0.639929650245
241,0.620796232123,0.651271703131
251,0.651898067289,0.607875340445
261,0.654417226802,0.654960325231
271,0.660321255711,0.648338468335
281,0.657470298262,0.649157529781
291,0.643215767897,0.641046530739
