Iterations,Train Accuracy,Test Accuracy
1,0.441217976471,0.35092071166
11,0.471399306978,0.431305440702
21,0.496941862848,0.436646938199
31,0.518939000368,0.441276571817
41,0.504290386004,0.417560441611
51,0.522646324155,0.440535779233
61,0.513899576674,0.398588134445
71,0.502888964463,0.4705454999
81,0.455971048666,0.41973955791
91,0.501007941895,0.473649365674
101,0.455460217305,0.48749883352
111,0.476401344152,0.483032004623
121,0.460837625417,0.431162340521
131,0.493807901844,0.482423915592
141,0.494940742408,0.439200309147
151,0.436836769997,0.435335838574
161,0.499960789343,0.46000233296
171,0.488745640506,0.408431036504
181,0.488933513364,0.421599112518
191,0.513563514785,0.458702934026
201,0.501511370576,0.442180498129
211,0.498027726354,0.481650940123
221,0.479694038806,0.477411927767
231,0.493590805756,0.449994604282
241,0.475479901735,0.412588508915
251,0.480484495465,0.396484247136
261,0.513570253037,0.446360570343
271,0.511901277013,0.447166739646
281,0.471174234437,0.46200671055
291,0.494011003483,0.439950660886
