Iterations,Train Accuracy,Test Accuracy
1,0.914761904762,0.867777777778
11,0.956666666667,0.938888888889
21,0.955714285714,0.941111111111
31,0.955714285714,0.908888888889
41,0.959047619048,0.925555555556
51,0.955714285714,0.94
61,0.947619047619,0.941111111111
71,0.956666666667,0.93
81,0.949047619048,0.906666666667
91,0.960952380952,0.937777777778
101,0.944761904762,0.938888888889
111,0.961428571429,0.937777777778
121,0.948571428571,0.95
131,0.951904761905,0.937777777778
141,0.958095238095,0.927777777778
151,0.958571428571,0.925555555556
161,0.959523809524,0.942222222222
171,0.955238095238,0.945555555556
181,0.954285714286,0.938888888889
191,0.96,0.937777777778
201,0.959047619048,0.937777777778
211,0.95,0.94
221,0.960952380952,0.951111111111
231,0.958095238095,0.946666666667
241,0.956666666667,0.925555555556
251,0.955714285714,0.946666666667
261,0.960952380952,0.947777777778
271,0.960476190476,0.937777777778
281,0.95619047619,0.928888888889
291,0.955238095238,0.938888888889
