Iterations,Train Accuracy,Test Accuracy
1,0.932862809292,0.842676933644
11,0.974431342581,0.926473915086
21,0.977760140238,0.932996828753
31,0.975996248075,0.928702367456
41,0.969954171483,0.927660311405
51,0.977518461663,0.936898305604
61,0.973633526834,0.938101324162
71,0.971804217756,0.930206424712
81,0.974694269057,0.937527971832
91,0.972065143325,0.918536936606
101,0.97626012689,0.933019770506
111,0.975194186689,0.928550699104
121,0.973665801506,0.927375243844
131,0.977507775891,0.93020705028
141,0.978324836902,0.932519379845
151,0.977792641064,0.920709790013
161,0.972811320832,0.920638781649
171,0.979358283345,0.924004031723
181,0.975188596383,0.933687979389
191,0.976715787133,0.930433339972
201,0.976715161657,0.933081842183
211,0.974943939824,0.94085208761
221,0.978045003607,0.92579597798
231,0.971851674019,0.935385579761
241,0.977301798821,0.924509082228
251,0.976232716266,0.921814709277
261,0.97497632934,0.922082950332
271,0.976984489342,0.931735223826
281,0.973625863234,0.925758060892
291,0.975967151073,0.927641799696
