Iterations,Train Accuracy,Test Accuracy
1,0.61586608325,0.615107933832
11,0.605353773651,0.605512660518
21,0.616373023699,0.59260740998
31,0.62198318484,0.609583920985
41,0.631996674034,0.619017119465
51,0.629053367176,0.610630814812
61,0.626638566624,0.626335042216
71,0.630778019494,0.615205591765
81,0.622763932161,0.613035493054
91,0.626478659387,0.61321492301
101,0.635103161865,0.617525261406
111,0.628227475396,0.624199665129
121,0.634169481785,0.622575585294
131,0.628030701303,0.611738924632
141,0.64201650401,0.623550987439
151,0.634405144107,0.623303749417
161,0.634904517697,0.623214007483
171,0.634999455287,0.627770412692
181,0.648971676346,0.627851940345
191,0.639294721843,0.61526814403
201,0.635038748081,0.624770838074
211,0.631405369748,0.619522457638
221,0.634364895209,0.622368619163
231,0.631129515669,0.608235645844
241,0.63825050763,0.616299345533
251,0.646313411389,0.618106190702
261,0.640901237346,0.631485914243
271,0.633586783862,0.630395314413
281,0.637775345884,0.621212894293
291,0.637947979992,0.624464078914
