Iterations,Train Accuracy,Test Accuracy
1,0.531329316937,0.503681542577
11,0.536201068157,0.502384656062
21,0.534928038232,0.519489201386
31,0.537122395599,0.5126523064
41,0.531277559534,0.507089052076
51,0.536615006882,0.502766561624
61,0.532504376326,0.50218338741
71,0.53544010061,0.500240109446
81,0.529813111845,0.499820176635
91,0.520980458008,0.489964126253
101,0.51997261727,0.495610039146
111,0.524409883347,0.491856773002
121,0.526046304052,0.482276316986
131,0.527982330988,0.490716033298
141,0.529780012047,0.489362916463
151,0.523502768145,0.494613637886
161,0.527140918993,0.502596482853
171,0.5246064695,0.497665927298
181,0.528173979809,0.493392423024
191,0.5255645522,0.4765129904
201,0.524909698579,0.472759724256
211,0.527519126188,0.480981613882
221,0.527508722526,0.47882556996
231,0.523595054006,0.477265286272
241,0.52266912808,0.467209055953
251,0.516922001643,0.465705002584
261,0.516768653621,0.462371669251
271,0.510531631942,0.466281471033
281,0.510957105847,0.459075274452
291,0.515102492295,0.455285069773
