Iterations,Train Accuracy,Test Accuracy
1,0.897142857143,0.863333333333
11,0.945714285714,0.865555555556
21,0.948571428571,0.872222222222
31,0.960952380952,0.868888888889
41,0.954285714286,0.862222222222
51,0.96380952381,0.886666666667
61,0.96380952381,0.886666666667
71,0.959523809524,0.891111111111
81,0.966666666667,0.875555555556
91,0.957142857143,0.857777777778
101,0.96380952381,0.883333333333
111,0.96380952381,0.861111111111
121,0.954285714286,0.881111111111
131,0.962857142857,0.881111111111
141,0.959047619048,0.878888888889
151,0.960476190476,0.871111111111
161,0.961428571429,0.87
171,0.954761904762,0.863333333333
181,0.957619047619,0.872222222222
191,0.962380952381,0.873333333333
201,0.969047619048,0.867777777778
211,0.958571428571,0.857777777778
221,0.96,0.872222222222
231,0.956666666667,0.868888888889
241,0.95619047619,0.87
251,0.960952380952,0.872222222222
261,0.962380952381,0.871111111111
271,0.952857142857,0.87
281,0.962380952381,0.876666666667
291,0.959523809524,0.868888888889
