Training Data Percentage,Train Time,Test Time
0.1,0.0267491340637,0.0195670127869
0.15,0.071307182312,0.0184810161591
0.2,0.165948867798,0.0186929702759
0.25,5.79744505882,0.0960009098053
0.3,6.95224404335,0.0902948379517
0.35,8.16813492775,0.0845620632172
0.4,9.60760402679,0.0777051448822
0.45,10.6446011066,0.0706589221954
0.5,10.8856759071,0.0648150444031
0.55,13.0659229755,0.0584049224854
0.6,13.7054610252,0.0523750782013
0.65,14.9147791862,0.0457608699799
0.7,15.9940521717,0.0397639274597
0.75,18.0040750504,0.0343658924103
0.8,18.9448051453,0.0286719799042
0.85,20.6208870411,0.0228810310364
0.9,20.4007167816,0.0175290107727
0.95,22.0569159985,0.013249874115
