Iterations,Train Accuracy,Test Accuracy
1,0.887874481406,0.802615615202
11,0.94412507461,0.868448986835
21,0.9535214363,0.868631754859
31,0.962927557867,0.871259038821
41,0.962941327596,0.862898218791
51,0.969192504212,0.862936135879
61,0.966799348371,0.868937964069
71,0.970502305861,0.869742317002
81,0.970220291496,0.86466538489
91,0.972821886495,0.870211646291
101,0.971552028381,0.860703521566
111,0.973112974445,0.871187711289
121,0.969408765928,0.867839517521
131,0.973888406255,0.858997252607
141,0.972295856914,0.867700552032
151,0.972879240487,0.858542783753
161,0.970272053452,0.86191517041
171,0.972591634013,0.8750145668
181,0.974694042903,0.864098377608
191,0.970016946147,0.866385965315
201,0.971305819689,0.870236349848
211,0.968690133364,0.865249601679
221,0.975166719545,0.872918645505
231,0.973115030142,0.870579339911
241,0.970996746301,0.871212453146
251,0.970472940321,0.864578022388
261,0.973931873797,0.868038282215
271,0.971300289511,0.866282644442
281,0.973874859073,0.864161547221
291,0.972583629415,0.87407920203
