Training Data Percentage,Train Time,Test Time
0.1,0.0156989097595,0.0138339996338
0.15,0.0254988670349,0.019504070282
0.2,0.0431320667267,0.0227749347687
0.25,0.0652029514313,0.0260689258575
0.3,0.0889070034027,0.0298399925232
0.35,0.114438772202,0.0321161746979
0.4,0.151328802109,0.0352990627289
0.45,0.185359954834,0.0346441268921
0.5,0.218701124191,0.0342190265656
0.55,0.266769886017,0.0339181423187
0.6,0.297735929489,0.0328660011292
0.65,0.398551940918,0.0322830677032
0.7,0.440203905106,0.0300469398499
0.75,0.523756980896,0.0258021354675
0.8,0.566161870956,0.0233261585236
0.85,0.632577180862,0.0178878307343
0.9,0.696855068207,0.0123679637909
0.95,0.86417722702,0.00669598579407
