Training Data Percentage,Train Time,Test Time
0.1,0.00150322914124,0.00396585464478
0.15,0.00218892097473,0.00559520721436
0.2,0.00395894050598,0.00998711585999
0.25,0.00604104995728,0.00724196434021
0.3,0.00703001022339,0.0104122161865
0.35,0.00927901268005,0.0107309818268
0.4,0.0136198997498,0.00888895988464
0.45,0.0153889656067,0.00961804389954
0.5,0.0198729038239,0.00904011726379
0.55,0.0218210220337,0.0128240585327
0.6,0.0238900184631,0.00992393493652
0.65,0.0337429046631,0.00787901878357
0.7,0.0341300964355,0.0114328861237
0.75,0.0373668670654,0.00837302207947
0.8,0.0448160171509,0.00552988052368
0.85,0.0514590740204,0.00710296630859
0.9,0.0577421188354,0.00360894203186
0.95,0.0626518726349,0.00177001953125
